f,ZN4L,PN4l,Perror,Zerror
57500,1311.65522057021,-46.7230035897339,-2.92338861832297,2.61756200537299
60000,1280.11250717937,-46.5117764565277,-3.11593649752867,2.60531106065202
62500,1249.85761669741,-46.3091732846703,-2.41166536891092,2.61108803916076
65000,1221.77782785005,-46.098409466206,-3.12840610450496,2.81660361223048
67500,1195.80858256344,-45.8784768233648,-2.85927178773595,2.78665926135052
70000,1170.7838855762,-45.6665435275005,-2.49543188830437,2.99243915116456
72500,1147.76835301738,-45.4428589363726,-2.80820140212828,2.95504941327038
75000,1126.14675923346,-45.2163470014934,-3.00611270147241,2.91121925760599
77500,1105.23419935692,-44.997263040882,-3.14555961653263,2.88298210427467
80000,1085.73780260481,-44.7725914050756,-3.15566035492066,2.84234475856445
82500,1067.60127451679,-44.5421611206723,-3.03472150666677,3.01323754147475
85000,1050.00621698225,-44.3186103896778,-2.85653385024299,2.97529723536849
87500,1032.92123360849,-44.1015403110644,-2.62157127866453,3.17798494378845
90000,1017.57379497787,-43.867506438916,-3.18661950437083,3.11735621631524
92500,1002.65587415132,-43.6397201630914,-2.72716956571263,3.06995589816925
95000,988.135812348154,-43.4180089178488,-3.22467693748755,3.03562726780621
97500,974.108822029064,-43.2003064576207,-2.6579348616313,3.24142713893578
100000,961.435633068113,-42.9730299314206,-2.97101188570812,3.19509686333905
125000,857.19167308759,-40.8461465110824,-2.19417984365885,6.72314709133532
150000,785.005800273789,-38.8987251628013,-2.29223780511363,4.62412368341939
175000,732.79381376252,-37.128865819945,-2.34802558568756,6.00305387930192
200000,692.781139352457,-35.5429091249294,-2.4854690275832,6.59177648260122
225000,661.42891850003,-34.1131148161013,-2.50534578039753,7.95328960936951
250000,636.326196738268,-32.8305653904518,-2.46317114430831,8.92633238446775
275000,615.771139298776,-31.6759873450592,-2.63553448115561,10.3421791067553
300000,598.654001100624,-30.6408834663399,-2.56341707750421,11.229713627937
325000,584.147491125106,-29.705961831617,-2.71378532232698,12.4754816983326
350000,571.605324833468,-28.8563703230709,-2.69323508681757,13.3640173032701
375000,560.856034481367,-28.0891249946506,-2.70015201541637,14.5576802247465
400000,551.495173692792,-27.395749728759,-2.8114164995114,15.6803510445617
425000,542.996279470504,-26.7547363121287,-2.76313505207199,17.0240373853504
450000,535.815976519518,-26.1871739561161,-2.83381312724417,17.8987391460063
475000,529.098080441607,-25.6543312831667,-2.81647583108888,19.3118706875728
500000,523.304382521825,-25.1806112767845,-2.99932849836598,20.1766796720642
525000,517.797112825383,-24.7302675982958,-3.12919612204968,21.5536187674053
550000,513.073149966007,-24.3377813382972,-3.10420649278737,22.3429624200808
575000,508.559211770747,-23.9627447910461,-3.03618297965547,23.6314530761187
600000,504.532057009848,-23.6280003694973,-3.26400329995882,24.665652100721
625000,500.808959768604,-23.3184525343512,-3.23297734906276,25.8098281842896
650000,497.260082417814,-23.0241646228813,-3.36643100342828,27.0331832873351
675000,494.154700116591,-22.7752325929678,-3.40891220490969,27.9919538338161
700000,491.162266171747,-22.5353546700535,-3.22454205444095,29.0004518044623
725000,488.329244978893,-22.3111921417392,-3.41383506978518,30.5281407576469
750000,485.803539421992,-22.1229707722121,-3.53979730128529,31.293133474225
775000,483.360658974922,-21.9409217197872,-3.64931251593497,32.0903643416102
800000,480.995788438615,-21.7647176474339,-3.53521007254199,33.3784143911945
825000,478.922305567592,-21.625706683123,-3.56585906187203,34.3374059027544
850000,476.910727042998,-21.4908459256996,-3.79301029128897,35.3212989006736
875000,474.957463430179,-21.3598947313754,-3.79876893385705,36.3292742261362
900000,473.131409279828,-21.2470768698088,-3.77666550343178,37.4031539420901
925000,471.443686498949,-21.1550192635791,-3.72394710202356,38.5488623856699
950000,469.800975066848,-21.0654168218281,-3.87377334211849,39.2369013712722
975000,468.200936326485,-20.9781419814446,-4.01517002956324,39.9374834475578
1000000,466.689756659875,-20.9127293177725,-3.92342944725679,41.1841476399402
