f,ZN4L,PN4l,Perror,Zerror
40000,1963.17229594605,-49.4543371258283,-2.38530790958345,5.36724841559358
42500,1890.46432945277,-49.3236720710805,-3.14926177763222,5.52203831692707
45000,1825.36542503922,-49.1647222461374,-2.99307602802915,5.62338628152147
47500,1765.48891466555,-48.9949612261844,-3.08759148141009,5.70458911740235
50000,1711.21002118263,-48.8051068005491,-3.43557939058464,5.54267161345229
52500,1660.74894305663,-48.6113181753237,-3.56773112462825,5.37183165020466
55000,1614.96293877455,-48.4002698624324,-3.40794577411217,5.57903885682316
57500,1571.29837338645,-48.1973882266895,-3.73586758618218,5.5965443895066
60000,1532.0012413387,-47.9675827987844,-3.78581668841326,5.56121998053235
62500,1494.30852886886,-47.747159845081,-3.72690579322947,5.54412001398601
65000,1459.55967832627,-47.5192740190487,-4.14099694388923,5.93290633589772
67500,1427.68019100891,-47.2828643378189,-4.36510987429541,5.67407320895535
70000,1396.96021815561,-47.0550533031765,-3.79679973381158,5.85495735266862
72500,1368.74799781742,-46.8156220456707,-4.47503866893347,5.80067491791839
75000,1342.26798043027,-46.5736661152316,-4.30107999381956,5.9554386557611
77500,1316.65631855766,-46.3396446118513,-4.05145068538299,5.91209672581433
80000,1292.81651268027,-46.1006570527798,-4.42317117385638,5.85817475375207
82500,1270.67885037637,-45.8565002495336,-4.66846124070271,6.01114396984894
85000,1249.20211348236,-45.6196328083278,-4.06642655895266,5.9615403301347
87500,1228.34797918718,-45.3896320659694,-4.20499904652439,6.14596756791272
90000,1209.67482812368,-45.143297872923,-4.16022311999201,6.29838316404539
92500,1191.52473445637,-44.9035502173176,-4.90759980490977,6.2434934515187
95000,1173.85870144503,-44.6701966007495,-4.78262830831885,6.42530550380728
97500,1156.79454961257,-44.4411793863659,-4.59938633055033,6.39312328249677
100000,1141.39452283727,-44.2030916089194,-5.13455041093482,6.56762118497079
125000,1015.04485157771,-41.9844555580883,-5.41406109659822,9.4903113667284
150000,927.861552139386,-39.9696465244938,-5.40365615376662,6.92937457627139
175000,865.010507056542,-38.1511535904299,-5.77906193458413,7.47330898834248
200000,816.935992331281,-36.5301286061779,-5.27140535769854,7.74738199443209
225000,779.281928154885,-35.0759193489703,-5.22507585175548,9.05441513128454
250000,749.207427200261,-33.7791062442836,-5.31128915104881,10.0035395248371
275000,724.607450964539,-32.6205233555452,-5.16038704621203,11.4054680085713
300000,704.105858882329,-31.5814242328184,-5.38188123840103,12.2902127662278
325000,686.695635246904,-30.6463166054308,-5.28682037421751,13.8558791912967
350000,671.625459955399,-29.8000750384687,-5.56478904880756,14.7653152979939
375000,658.72238365577,-29.0400308180796,-5.65907843260875,15.9780505990057
400000,647.506782050681,-28.3563480275762,-5.48152064707499,16.7734858626741
425000,637.333427287644,-27.7256920988268,-5.75312248541567,18.1264802368612
450000,628.709612010215,-27.1695136759264,-5.61314592868218,19.0268907187207
475000,620.638510380894,-26.6479774601675,-5.69759836485233,20.0689807253158
500000,613.656860954871,-26.1893502802991,-5.59647275705347,21.3420730964206
525000,607.020627597491,-25.7533751731661,-5.76246849154909,22.3402763112807
550000,601.36511692192,-25.376341128128,-5.75937680844514,23.550838546632
575000,595.96104698909,-25.0160697992727,-5.87940322407538,24.8483069049216
600000,591.095161842345,-24.6978952177352,-5.90511315451525,25.9046172207459
625000,586.5739813215,-24.4053938215709,-6.03948006672383,27.0653031451296
650000,582.264021762832,-24.1276335919155,-5.96567483802327,27.8835202229271
675000,578.48885112213,-23.8962521655499,-5.96574139863314,29.2776127280581
700000,574.850990248006,-23.6732864990713,-6.11445580650907,30.3011856818137
725000,571.405143241785,-23.4655753909209,-6.05434815688681,31.3888548148311
750000,568.32603468388,-23.2937630638654,-6.27702465468829,32.1706846734874
775000,565.347898903186,-23.1275849544724,-6.30622333009142,33.4128486380419
800000,562.464815627253,-22.9667556108042,-6.3177612866537,34.2527945353476
